Date ,Time In ,Time Out ,Details ,,,,,
1/10/19,2:15,2.22,"spray water	 heads on staff",,,,, 
1/10/17,10:00,10:08,Adult ,,,,,
1/10/17,10:54,,,,,,,
1/12/17,8:50,9,Kiching challs ,,,,,
1/13/14,8:59,9:02,,,,,,
1/13/17,9:40,9:50,,,,,,
the ,10:10,10.13,,,,,,
1/13/12,10:15,10:25,,,,,,
1/13/17,12:12,,,,,,,
1/17/17,8:45AM ,900,Hettan staff ,,,,,
,10:11am ,1030,Adult ,,,,,
7/1) ,toge ,2:05,,,,,,
1/18/17,8.5,9:10,Adult ,,,,,
1/18/17,9:20am ,9:37,tippingchans,,,,,
24/14/17 ,11:37,11:48,,,,,,
1/18/17,2:05,,Adult ,,,,,
1/18/17,8:32,,,,,,,